DATA FIELDS;PART OF PROCESS;TRANSPORT SERVICE;DATA TYPE;NOTE: '?' marks an empty field
;;;;
nr;overall;-;[1…3942];unique id for process instance 
;;;;
i1_legid;incoming transport leg 1;-;[1..14664];"unique id across all transport legs (note: also to ""empty"" legs are assigned an id)"
i1_rcs_p;incoming transport leg 1;RCS: Freight Check in;MINUTES;planned duration 
i1_rcs_e;incoming transport leg 1;RCS: Freight Check in;MINUTES;effective (i.e., actual) duration 
i1_dep_1_p;incoming transport leg 1;DEP: Departure Segment 1;MINUTES;planned duration 
i1_dep_1_e;incoming transport leg 1;DEP: Departure Segment 1;MINUTES;effective (i.e., actual) duration 
i1_dep_1_place;incoming transport leg 1;DEP: Departure Segment 1;[100…816];unique id for airport (original IATA codes have been masked due to confidentiality reasons)
i1_rcf_1_p;incoming transport leg 1;RCF: Arrival Segment 1;MINUTES;planned duration 
i1_rcf_1_e;incoming transport leg 1;RCF: Arrival Segment 1;MINUTES;effective (i.e., actual) duration 
i1_rcf_1_place;incoming transport leg 1;RCF: Arrival Segment 1;[100…816];unique id for airport (original IATA codes have been masked due to confidentiality reasons)
i1_dep_2_p;incoming transport leg 1;DEP: Departure Segment 2;MINUTES;planned duration 
i1_dep_2_e;incoming transport leg 1;DEP: Departure Segment 2;MINUTES;effective (i.e., actual) duration 
i1_dep_2_place;incoming transport leg 1;DEP: Departure Segment 2;[100…816];unique id for airport (original IATA codes have been masked due to confidentiality reasons)
i1_rcf_2_p;incoming transport leg 1;RCF: Arrival Segment 2;MINUTES;planned duration 
i1_rcf_2_e;incoming transport leg 1;RCF: Arrival Segment 2;MINUTES;effective (i.e., actual) duration 
i1_rcf_2_place;incoming transport leg 1;RCF: Arrival Segment 2;[100…816];unique id for airport (original IATA codes have been masked due to confidentiality reasons)
i1_dep_3_p;incoming transport leg 1;DEP: Departure Segment 3;MINUTES;planned duration 
i1_dep_3_e;incoming transport leg 1;DEP: Departure Segment 3;MINUTES;effective (i.e., actual) duration 
i1_dep_3_place;incoming transport leg 1;DEP: Departure Segment 3;[100…816];unique id for airport (original IATA codes have been masked due to confidentiality reasons)
i1_rcf_3_p;incoming transport leg 1;RCF: Arrival Segment 3;MINUTES;planned duration 
