CaseID,ActivityID,Duration,TimeSinceLastEvent,Timestamp,PlannedDuration,PlannedTimestamp,InstanceID,EndTimestamp,PlannedEndTimestamp
0,1,218,218,218,199,199,0,17494,20609
0,2,215,215,433,210,409,0,17494,20609
0,3,736,736,1169,935,1344,0,17494,20609
0,4,1539,1539,2708,840,2184,0,17494,20609
0,5,2880,172,2880,3315,3315,0,17494,20609
0,6,696,696,3576,300,3615,0,17494,20609
0,7,515,515,4091,1965,5580,0,17494,20609
0,8,1280,1280,5371,2760,8340,0,17494,20609
0,13,7559,7559,12930,9919,18259,0,17494,20609
0,14,2865,2865,15795,240,18499,0,17494,20609
0,15,1265,1265,17060,1330,19829,0,17494,20609
0,16,434,434,17494,780,20609,0,17494,20609
1,1,584,584,584,844,844,1,16257,20409
1,2,297,297,881,90,934,1,16257,20409
1,3,1415,1415,2296,1935,2869,1,16257,20409
1,5,2888,592,2888,2964,2964,1,16257,20409
1,6,239,239,3127,180,3144,1,16257,20409
1,7,756,756,3883,970,4114,1,16257,20409
1,6,331,331,4214,160,4274,1,16257,20409
1,7,1142,1142,5356,1080,5354,1,16257,20409
1,4,5790,2730,8086,3780,6649,1,16257,20409
1,8,6628,3898,11984,7020,12374,1,16257,20409
1,13,3016,3016,15000,3030,15404,1,16257,20409
1,14,286,286,15286,300,15704,1,16257,20409
1,15,526,526,15812,835,16539,1,16257,20409
1,16,445,445,16257,3870,20409,1,16257,20409
2,1,4119,4119,4119,4380,4380,2,9678,12578
2,2,280,280,4399,90,4470,2,9678,12578
2,3,547,547,4946,905,5375,2,9678,12578
2,4,321,321,5267,3780,9155,2,9678,12578
2,13,642,642,5909,1433,10588,2,9678,12578
2,14,969,969,6878,240,10828,2,9678,12578
2,15,1280,1280,8158,1200,12028,2,9678,12578
2,16,1520,1520,9678,550,12578,2,9678,12578
3,1,169,169,169,759,759,3,9161,12902
3,2,777,777,946,240,999,3,9161,12902
3,3,577,577,1523,340,1339,3,9161,12902
3,2,1109,1109,2632,1340,2679,3,9161,12902
3,3,820,820,3452,1240,3919,3,9161,12902
3,4,535,535,3987,335,4254,3,9161,12902
3,13,3176,3176,7163,3963,8217,3,9161,12902
3,14,883,883,8046,90,8307,3,9161,12902
3,15,956,956,9002,815,9122,3,9161,12902
3,16,159,159,9161,3780,12902,3,9161,12902
4,1,1485,1485,1485,1597,1597,4,10509,13284
4,2,241,241,1726,150,1747,4,10509,13284
4,3,612,612,2338,585,2332,4,10509,13284
4,2,289,289,2627,340,2672,4,10509,13284
4,3,135,135,2762,130,2802,4,10509,13284
4,4,1255,1255,4017,4230,7032,4,10509,13284
4,13,179,179,4196,152,7184,4,10509,13284
4,14,131,131,4327,180,7364,4,10509,13284
4,15,167,167,4494,230,7594,4,10509,13284
4,14,872,872,5366,810,8404,4,10509,13284
4,15,346,346,5712,740,9144,4,10509,13284
4,16,4797,4797,10509,4140,13284,4,10509,13284
5,5,59,59,59,59,59,5,26774,13455
5,1,98,39,98,181,181,5,26774,13455
5,2,259,259,357,240,421,5,26774,13455
5,3,223,223,580,215,636,5,26774,13455
5,4,115,115,695,4890,5526,5,26774,13455
5,6,1934,1298,1993,525,584,5,26774,13455
5,7,2270,2270,4263,3615,4199,5,26774,13455
5,8,21025,21025,25288,3960,8159,5,26774,13455
5,13,29,29,25317,136,8295,5,26774,13455
5,14,308,308,25625,240,8535,5,26774,13455
5,15,682,682,26307,960,9495,5,26774,13455
5,16,467,467,26774,3960,13455,5,26774,13455
6,5,33,33,33,252,252,6,4849,10739
6,9,153,120,153,250,250,6,4849,10739
6,1,212,59,212,1300,1300,6,4849,10739
6,10,181,122,334,150,400,6,4849,10739
6,6,399,98,432,240,492,6,4849,10739
6,11,181,83,515,525,925,6,4849,10739
6,7,164,81,596,275,767,6,4849,10739
6,10,764,683,1279,415,1340,6,4849,10739
6,8,727,44,1323,5070,5837,6,4849,10739
6,11,108,64,1387,80,1420,6,4849,10739
6,2,1267,92,1479,240,1540,6,4849,10739
6,3,135,135,1614,270,1810,6,4849,10739
6,12,1258,1031,2645,2880,4300,6,4849,10739
6,4,2161,1130,3775,5070,6880,6,4849,10739
6,13,81,81,3856,329,7209,6,4849,10739
6,14,763,763,4619,570,7779,6,4849,10739
6,15,79,79,4698,80,7859,6,4849,10739
6,16,151,151,4849,2880,10739,6,4849,10739
7,1,87,87,87,139,139,7,2748,11478
7,5,110,23,110,303,303,7,2748,11478
7,2,232,209,319,240,379,7,2748,11478
7,3,154,154,473,255,634,7,2748,11478
7,6,371,8,481,240,543,7,2748,11478
7,7,143,143,624,215,758,7,2748,11478
7,2,563,412,1036,460,1094,7,2748,11478
7,3,182,182,1218,215,1309,7,2748,11478
7,8,919,325,1543,4890,5648,7,2748,11478
7,4,374,49,1592,4890,6199,7,2748,11478
7,13,19,19,1611,119,6318,7,2748,11478
7,14,298,298,1909,240,6558,7,2748,11478
7,15,678,678,2587,960,7518,7,2748,11478
7,16,161,161,2748,3960,11478,7,2748,11478
8,1,68,68,68,387,387,8,7247,14750
8,2,514,514,582,240,627,8,7247,14750
8,3,219,219,801,285,912,8,7247,14750
8,4,1170,1170,1971,5160,6072,8,7247,14750
8,13,1074,1074,3045,933,7005,8,7247,14750
8,14,677,677,3722,180,7185,8,7247,14750
