CaseID,ActivityString,Duration,TimeSinceLastEvent,Timestamp,PlannedDuration,PlannedTimestamp,InstanceID,EndTimestamp,StartTime,FinishedActivity,PlannedEndTimestamp
0,AE,218,218,218,199,199,0,17494,0,A,20609
0,BE,215,215,433,210,409,0,17494,218,B,20609
0,CE,736,736,1169,935,1344,0,17494,433,C,20609
0,DE,1539,1539,2708,840,2184,0,17494,1169,D,20609
0,E,2880,172,2880,3315,3315,0,17494,0,E,20609
0,F,696,696,3576,300,3615,0,17494,2880,F,20609
0,G,515,515,4091,1965,5580,0,17494,3576,G,20609
0,H,1280,1280,5371,2760,8340,0,17494,4091,H,20609
0,M,7559,7559,12930,9919,18259,0,17494,5371,M,20609
0,N,2865,2865,15795,240,18499,0,17494,12930,N,20609
0,O,1265,1265,17060,1330,19829,0,17494,15795,O,20609
0,P,434,434,17494,780,20609,0,17494,17060,P,20609
1,AE,584,584,584,844,844,1,16257,0,A,20409
1,BE,297,297,881,90,934,1,16257,584,B,20409
1,CE,1415,1415,2296,1935,2869,1,16257,881,C,20409
1,DE,2888,592,2888,2964,2964,1,16257,0,E,20409
1,DF,239,239,3127,180,3144,1,16257,2888,F,20409
1,DG,756,756,3883,970,4114,1,16257,3127,G,20409
1,DF,331,331,4214,160,4274,1,16257,3883,F,20409
1,DG,1142,1142,5356,1080,5354,1,16257,4214,G,20409
1,DH,5790,2730,8086,3780,6649,1,16257,2296,D,20409
1,H,6628,3898,11984,7020,12374,1,16257,5356,H,20409
1,M,3016,3016,15000,3030,15404,1,16257,11984,M,20409
1,N,286,286,15286,300,15704,1,16257,15000,N,20409
1,O,526,526,15812,835,16539,1,16257,15286,O,20409
1,P,445,445,16257,3870,20409,1,16257,15812,P,20409
2,A,4119,4119,4119,4380,4380,2,9678,0,A,12578
2,B,280,280,4399,90,4470,2,9678,4119,B,12578
2,C,547,547,4946,905,5375,2,9678,4399,C,12578
2,D,321,321,5267,3780,9155,2,9678,4946,D,12578
2,M,642,642,5909,1433,10588,2,9678,5267,M,12578
2,N,969,969,6878,240,10828,2,9678,5909,N,12578
2,O,1280,1280,8158,1200,12028,2,9678,6878,O,12578
2,P,1520,1520,9678,550,12578,2,9678,8158,P,12578
3,A,169,169,169,759,759,3,9161,0,A,12902
3,B,777,777,946,240,999,3,9161,169,B,12902
3,C,577,577,1523,340,1339,3,9161,946,C,12902
3,B,1109,1109,2632,1340,2679,3,9161,1523,B,12902
3,C,820,820,3452,1240,3919,3,9161,2632,C,12902
